Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2024-W21,X,X,,,,X,,X,,X,,,,,,,
2024-W22,,X,,,,X,,,,X,,,X,,,X,
2024-W23,,X,,,,X,,,,X,,,,,,X,
2024-W24,,X,,,,X,,,,X,,,,,,X,
2024-W25,,X,,,,X,,X,,X,,,,,,X,
2024-W26,,X,,,,X,,X,,X,,,,,,,
2024-W27,,X,,,,X,,X,,X,,,,,,,
2024-W28,,X,,,,X,,X,,X,,,X,,,,
2024-W29,,X,,,,X,,X,,X,,,,,,,
2024-W30,,X,,,,X,,,,X,,,,,,,
2024-W31,,X,,,,X,,,,X,,,X,,,X,
2024-W32,,X,,,,X,,,,X,,,X,,,X,
2024-W33,,X,,,,X,,,,X,,,,,,X,
2024-W34,,X,,,,X,,,,X,,,X,,,X,
2024-W35,X,X,,,,X,,X,,X,,,,,,X,
2024-W36,,X,,,,X,,,,X,X,,,,,X,
2024-W37,,X,,,,X,,,,X,X,,X,,,,
2024-W38,,,,,,,,,,X,X,,,,,X,
2024-W39,,,,,,X,,,,X,X,,,,,,
2024-W40,,,,,,X,,,,X,X,,,,,X,
2024-W41,,X,,,,X,,,,X,X,,,,,X,
2024-W42,,X,,,,X,,,,X,,,X,,,,
2024-W43,,X,,,,X,,,,X,,,X,,,X,
2024-W44,,X,,,,X,,,,X,X,,,,,X,
2024-W45,,X,,,,X,,,,X,,,,,,X,
2024-W46,,X,,,,X,,,,X,,,,,,,
2024-W47,,X,,,,,,,,X,,,X,,,,
2024-W48,,X,,,,,,,,X,,,,,,X,
2025-W11,,X,,,,X,,,,X,,,,,,X,
2025-W12,,X,,,,X,,,,X,,,,,,X,
2025-W13,,X,,,,X,,,,X,,,,,,,
2025-W14,,X,,,,X,,,,X,,,,,,,
2025-W15,,X,,,,X,,,,X,,,X,,,X,
2025-W16,,X,,,,X,,,,X,,,,,,X,
2025-W17,,X,,,,X,,,,X,,,,,,,
2025-W18,,,,,,X,,,,,,,,,,,
2025-W19,,X,,,,X,,,,X,,,,,,,
2025-W20,,X,,,,X,,,,X,,,,,,,
2025-W21,,X,,,,X,,,,X,,,,,,,
2025-W22,,X,,,,X,,,,X,,,,,,X,
2025-W23,,X,,,,X,,,,X,,,,,,,
2025-W24,,X,,,,X,,,,X,,,,,,,
2025-W25,,X,,,,X,,X,,X,,,,,,X,X
2025-W26,,X,,,,X,,,,X,,,,,,X,X
2025-W27,,X,,,,X,,,,X,,,,,,,X
